iter	Passed	Remaining
664	1543	777
665	1545	774
666	1547	772
667	1549	770
668	1552	767
669	1557	766
670	1558	764
671	1564	763
672	1565	760
673	1572	760
674	1573	757
675	1575	755
676	1576	752
677	1578	749
678	1579	746
679	1582	744
680	1588	744
681	1590	741
682	1597	741
683	1598	738
684	1600	735
685	1601	733
686	1603	730
687	1606	728
688	1607	725
689	1608	722
690	1612	720
691	1613	718
692	1615	715
693	1617	713
694	1619	710
695	1621	708
696	1622	705
697	1624	702
698	1629	701
699	1630	698
700	1632	696
701	1633	693
702	1634	690
703	1636	687
704	1637	685
705	1639	682
706	1643	680
707	1644	678
708	1646	675
709	1648	673
710	1649	670
711	1652	668
712	1653	665
713	1659	664
714	1661	662
715	1662	659
716	1663	656
717	1665	654
718	1667	651
719	1668	649
720	1673	647
721	1674	644
722	1675	642
723	1677	639
724	1678	636
725	1680	634
726	1681	631
727	1689	631
728	1693	629
729	1694	626
730	1700	625
731	1704	624
732	1706	621
733	1709	619
734	1713	617
735	1715	615
736	1723	615
737	1725	612
738	1726	609
739	1728	607
740	1730	604
741	1732	602
742	1736	600
743	1738	598
744	1740	595
745	1752	596
746	1753	593
747	1754	591
748	1756	588
749	1757	585
750	1760	583
751	1763	581
752	1767	579
753	1768	577
754	1769	574
755	1772	571
756	1775	569
757	1776	567
758	1778	564
759	1784	563
760	1786	561
761	1788	558
762	1789	555
763	1791	553
764	1797	552
765	1798	549
766	1801	547
767	1805	545
768	1809	543
769	1814	541
770	1815	539
771	1816	536
772	1819	534
773	1824	532
774	1829	531
775	1831	528
776	1833	526
777	1836	523
778	1840	522
779	1844	520
780	1845	517
781	1846	514
782	1849	512
783	1854	510
784	1865	511
785	1867	508
786	1869	505
787	1870	503
788	1874	501
789	1876	498
790	1878	496
791	1879	493
792	1883	491
793	1885	489
794	1886	486
795	1891	484
796	1896	482
797	1898	480
798	1900	478
799	1902	475
800	1907	473
801	1909	471
802	1911	468
803	1913	466
804	1914	463
805	1916	461
806	1917	458
807	1923	457
808	1925	454
809	1926	451
810	1928	449
811	1930	446
812	1931	444
813	1933	441
814	1941	440
815	1943	438
816	1949	436
817	1956	435
818	1958	432
819	1959	430
820	1961	427
821	1962	424
822	1963	422
823	1965	419
824	1974	418
825	1976	416
826	1978	413
827	1979	411
828	1981	408
829	1988	407
830	1990	404
831	1992	402
832	1993	399
833	1995	397
834	1997	394
835	2001	392
836	2002	389
837	2003	387
838	2005	384
839	2006	382
840	2007	379
841	2011	377
842	2012	374
843	2019	373
844	2020	370
845	2021	368
846	2023	365
847	2024	362
848	2025	360
849	2026	357
850	2028	355
851	2034	353
852	2036	350
853	2037	348
854	2039	345
855	2040	343
856	2042	340
857	2044	338
858	2045	335
859	2048	333
860	2051	331
861	2052	328
862	2061	327
863	2065	325
864	2070	323
865	2071	320
866	2073	318
867	2074	315
868	2076	313
869	2079	310
870	2080	308
871	2087	306
872	2088	303
873	2089	301
874	2091	298
875	2092	296
876	2093	293
877	2095	291
878	2096	288
879	2112	288
880	2119	286
881	2121	283
882	2123	281
883	2125	278
884	2126	276
885	2128	273
886	2136	272
887	2137	269
888	2139	267
889	2141	264
890	2142	262
891	2154	260
892	2156	258
893	2157	255
894	2163	253
895	2164	251
896	2166	248
897	2168	246
898	2169	243
899	2170	241
900	2171	238
901	2172	236
902	2178	234
903	2179	231
904	2180	228
905	2181	226
906	2182	223
907	2183	221
908	2185	218
909	2186	216
910	2187	213
911	2188	211
912	2193	208
913	2194	206
914	2195	203
915	2196	201
916	2197	198
917	2198	196
918	2200	193
919	2201	191
920	2240	192
921	2241	189
922	2243	187
923	2245	184
924	2246	182
925	2248	179
926	2249	177
927	2251	174
928	2255	172
929	2259	170
930	2261	167
931	2262	165
932	2263	162
933	2266	160
934	2268	157
935	2270	155
936	2271	152
937	2287	151
938	2289	148
939	2290	146
940	2292	143
941	2293	141
942	2294	138
943	2296	136
944	2301	133
945	2302	131
946	2304	128
947	2305	126
948	2306	123
949	2307	121
950	2309	118
951	2310	116
952	2311	114
953	2314	111
954	2316	109
955	2317	106
956	2319	104
957	2320	101
958	2321	99
959	2322	96
960	2324	94
961	2325	91
962	2326	89
963	2328	86
964	2329	84
965	2330	82
966	2335	79
967	2336	77
968	2337	74
969	2339	72
970	2340	69
971	2342	67
972	2344	65
973	2345	62
974	2347	60
975	2352	57
976	2353	55
977	2354	52
978	2356	50
979	2357	48
980	2358	45
981	2360	43
982	2384	41
983	2385	38
984	2386	36
985	2388	33
986	2390	31
987	2391	29
988	2392	26
989	2400	24
990	2401	21
991	2403	19
992	2405	16
993	2406	14
994	2407	12
995	2409	9
996	2414	7
997	2415	4
998	2416	2
999	2418	0
